customer_id,full_name,age,gender,email,marital_status,number_of_dependents,employment_status,annual_income,occupation,education_level,residential_status,credit_score,total_assets,total_liabilities,primary_bank,number_of_bank_accounts,number_of_credit_cards,loan_history,investment_portfolio,categories_of_spending,average_monthly_spending,emi_payments,email_engagement,social_media_engagement,website_visits,product_page_visits,ad_clicks,preferred_investment_type,risk_appetite,short-term_goals,long-term_goals,conversion_rate,preferred_communication_channel,churn_risk,previous_offers_shown
223,Wallie Kidby,50,Male,wkidby66@netlog.com,Married,1,Unemployed,460938,Marketing Manager,Bachelor,Owner,503,1976280,463538,BNY,3,9,Bad,Stocks,Groceries,5764,4176,Ignored,Ignored,20,4,0,Mutual Funds,Medium,Gadgets,Property,74,WhatsApp,Medium,Insurance
224,Anderson Ary,26,Male,aary67@people.com.cn,Married,5,Retired,230394,Marketing Manager,PhD,Renter,420,329748,33260,National Bank,4,9,No history,Crypto,Groceries,12299,4545,Clicked,Opened,8,2,6,Real Estate,High,Gadgets,Education,17,SMS,Low,Loan
225,Evelin Messer,29,Male,emesser68@ask.com,Divorced,4,Employed,394110,Graphic Designer,Bachelor,Owner,330,933104,39921,Peoples Bank,2,10,No history,Stocks,Luxury,3640,1111,Opened,Opened,42,13,2,Real Estate,High,Wedding,Property,2,SMS,Medium,Insurance
226,Karil O'Noulane,31,Female,konoulane69@webmd.com,Married,5,Self-employed,220304,Human Resources Specialist,Master,Renter,340,1250169,206542,Community Bank,3,0,Good,Bonds,Travel,8779,435,Opened,Opened,1,20,1,Stocks,Low,Gadgets,Property,52,Email,Low,Insurance
227,Ricca Garnham,23,Female,rgarnham6a@telegraph.co.uk,Widowed,5,Student,464309,Software Engineer,PhD,Renter,332,367909,362603,Peoples Bank,1,9,No history,Bonds,Dining,16673,3582,Ignored,Ignored,1,1,5,Stocks,Medium,Travel,Property,52,WhatsApp,High,Insurance
228,Brennan Dorwood,31,Male,bdorwood6b@jugem.jp,Divorced,3,Retired,423302,Graphic Designer,High School,Renter,624,1320774,184193,GS,2,7,Bad,Stocks,Travel,16278,2601,Ignored,Opened,43,8,7,Crypto,Low,Travel,Retirement,34,WhatsApp,Low,Insurance
229,Marijo Wanjek,31,Female,mwanjek6c@auda.org.au,Married,5,Self-employed,327506,Human Resources Specialist,Master,Owner,373,864220,402527,City Bank,3,4,Bad,Stocks,Luxury,16457,2201,Ignored,Ignored,7,3,8,Stocks,High,Gadgets,Education,27,SMS,Medium,Loan
230,Dyann Stiffkins,28,Female,dstiffkins6d@fda.gov,Widowed,5,Self-employed,489542,Graphic Designer,Master,Owner,321,562564,60527,City Bank,1,5,Good,Bonds,Travel,3634,1655,Opened,Ignored,39,8,1,Mutual Funds,Low,Wedding,Property,28,Email,High,Loan
231,Jesus Jirzik,35,Male,jjirzik6e@dell.com,Single,0,Student,204186,Marketing Manager,Master,Renter,418,1263798,195156,BNY,1,7,Bad,Bonds,Dining,14086,3406,Opened,Clicked,31,17,2,Mutual Funds,Low,Gadgets,Education,98,Email,High,Loan
232,Joline Leipelt,39,Female,jleipelt6f@thetimes.co.uk,Divorced,0,Unemployed,497901,Marketing Manager,Bachelor,Owner,379,1355319,6704,City Bank,1,6,Good,Bonds,Travel,6092,4767,Clicked,Ignored,14,0,9,Real Estate,Medium,Wedding,Retirement,62,Email,High,Credit Card
233,Adrianne Blacker,22,Female,ablacker6g@adobe.com,Married,5,Employed,437086,Sales Associate,Master,Owner,650,406320,384122,National Bank,5,10,Good,None,Travel,11197,4226,Opened,Opened,26,7,6,Real Estate,High,Wedding,Education,84,SMS,High,Loan
234,Gayler Farnfield,22,Male,gfarnfield6h@uol.com.br,Married,5,Retired,214276,Human Resources Specialist,PhD,Renter,802,1013451,185293,GS,5,6,Good,Stocks,Dining,13593,2339,Clicked,Ignored,27,7,5,Stocks,Low,Wedding,Education,50,WhatsApp,High,Loan
235,Merrill Bermingham,32,Male,mbermingham6i@independent.co.uk,Divorced,4,Employed,113057,Human Resources Specialist,PhD,Owner,343,318822,413418,Peoples Bank,3,4,Bad,Bonds,Luxury,14072,3980,Opened,Clicked,4,10,1,Stocks,Medium,Wedding,Education,0,Email,Low,Loan
236,Stephen Greeson,46,Male,sgreeson6j@hp.com,Married,2,Retired,329193,Graphic Designer,Bachelor,Renter,529,1502336,440389,First Bank,5,1,Good,None,Luxury,14696,573,Opened,Ignored,21,6,3,Crypto,Medium,Wedding,Retirement,94,SMS,Low,Loan
237,Noel Andreazzi,34,Male,nandreazzi6k@nba.com,Divorced,0,Self-employed,232662,Sales Associate,Bachelor,Owner,708,994240,141117,WF,4,5,Good,Bonds,Dining,4947,2069,Opened,Opened,31,14,8,Crypto,Low,Gadgets,Retirement,47,WhatsApp,Low,Credit Card
238,Marti Hallowes,36,Female,mhallowes6l@php.net,Divorced,2,Self-employed,408965,Human Resources Specialist,High School,Renter,557,929383,122229,National Bank,5,10,No history,Stocks,Dining,15312,3467,Opened,Opened,9,17,1,Mutual Funds,Medium,Travel,Education,3,SMS,High,Insurance
239,Jan Giercke,55,Male,jgiercke6m@tamu.edu,Married,3,Self-employed,418099,Human Resources Specialist,Master,Renter,594,1816309,257610,National Bank,4,1,No history,Stocks,Luxury,13341,4319,Clicked,Opened,21,18,6,Real Estate,Low,Travel,Property,92,WhatsApp,High,Insurance
240,Whitney Scherer,26,Female,wscherer6n@naver.com,Married,5,Student,405637,Graphic Designer,High School,Owner,804,569932,223173,First Bank,3,0,Bad,Bonds,Groceries,3619,1101,Clicked,Clicked,27,16,10,Mutual Funds,Low,Wedding,Retirement,90,WhatsApp,High,Credit Card
241,Aldon Petofi,18,Male,apetofi6o@spotify.com,Single,1,Employed,493479,Human Resources Specialist,Bachelor,Renter,586,466097,153451,WF,2,3,Good,Bonds,Travel,17152,1109,Ignored,Clicked,15,18,10,Real Estate,Medium,Wedding,Property,68,Email,Medium,Insurance
242,Felisha Mannering,22,Female,fmannering6p@youtube.com,Divorced,4,Self-employed,437988,Human Resources Specialist,Master,Renter,843,1121787,31858,First Bank,5,1,No history,Crypto,Travel,6449,3865,Opened,Clicked,17,12,4,Stocks,Low,Travel,Retirement,36,WhatsApp,High,Loan
243,Rubin Passy,53,Male,rpassy6q@rakuten.co.jp,Widowed,2,Retired,177708,Software Engineer,Master,Renter,838,1945400,173549,Community Bank,5,10,Bad,Real Estate,Travel,1830,4422,Ignored,Ignored,29,19,6,Mutual Funds,Medium,Wedding,Property,82,SMS,High,Insurance
244,Cleveland Ashard,49,Male,cashard6r@deviantart.com,Divorced,5,Student,154930,Sales Associate,High School,Owner,386,1916023,123595,Peoples Bank,1,9,Good,Crypto,Luxury,16606,4983,Ignored,Opened,5,10,1,Stocks,Medium,Wedding,Education,54,SMS,Low,Loan
245,Fonsie Lawlings,20,Male,flawlings6s@surveymonkey.com,Widowed,5,Unemployed,45604,Software Engineer,PhD,Renter,776,1886061,69152,Community Bank,3,8,Good,Stocks,Travel,1720,2281,Ignored,Opened,13,8,4,Crypto,High,Wedding,Property,77,Email,Medium,Loan
246,Cathee Christall,44,Female,cchristall6t@forbes.com,Widowed,0,Unemployed,400796,Human Resources Specialist,Master,Owner,714,926842,71732,GS,1,3,Bad,None,Dining,8620,3407,Clicked,Clicked,32,17,10,Real Estate,High,Wedding,Education,47,WhatsApp,Medium,Insurance
247,Maegan Fay,47,Female,mfay6u@google.nl,Single,2,Employed,433457,Software Engineer,Bachelor,Renter,627,35060,362614,National Bank,4,0,No history,Crypto,Travel,4401,1718,Opened,Clicked,31,3,1,Real Estate,Low,Travel,Education,36,Email,High,Credit Card
248,Danyelle Hogbin,44,Female,dhogbin6v@ox.ac.uk,Single,5,Student,129746,Sales Associate,High School,Owner,741,1031853,191402,GS,2,8,No history,Real Estate,Luxury,5423,1105,Opened,Clicked,23,2,1,Crypto,Medium,Travel,Property,69,Email,Medium,Loan
249,Shalom Hallbird,40,Male,shallbird6w@icio.us,Married,4,Unemployed,311333,Human Resources Specialist,High School,Renter,601,1667910,474360,Community Bank,1,1,No history,None,Luxury,5396,4491,Ignored,Opened,15,10,8,Stocks,Medium,Travel,Education,50,WhatsApp,High,Insurance
250,Hilton Parriss,27,Male,hparriss6x@php.net,Married,3,Self-employed,455396,Marketing Manager,High School,Renter,638,1356058,295731,GS,3,2,No history,Stocks,Luxury,18112,2705,Opened,Clicked,13,14,7,Stocks,Low,Travel,Property,33,Email,Medium,Credit Card
251,Carey Tubbles,37,Male,ctubbles6y@hhs.gov,Single,4,Retired,434466,Marketing Manager,Master,Renter,493,1431210,480234,Peoples Bank,5,9,No history,None,Travel,9358,4849,Ignored,Ignored,27,4,5,Real Estate,High,Wedding,Retirement,27,Email,High,Credit Card
252,Melonie Bachman,47,Female,mbachman6z@nps.gov,Single,1,Employed,378275,Sales Associate,PhD,Renter,521,1403163,119817,Community Bank,4,3,No history,Bonds,Luxury,19523,1457,Opened,Clicked,40,20,7,Stocks,Medium,Travel,Education,71,SMS,Medium,Loan
253,Neddie Warters,53,Male,nwarters70@psu.edu,Widowed,3,Employed,331241,Software Engineer,Master,Renter,562,402250,496360,WF,5,0,Good,None,Luxury,8602,2895,Opened,Ignored,38,12,5,Stocks,Medium,Travel,Property,9,Email,High,Credit Card
254,Leif Guerola,36,Male,lguerola71@delicious.com,Married,3,Retired,246389,Sales Associate,Master,Owner,398,116563,150815,GS,4,10,No history,Crypto,Travel,14762,769,Ignored,Opened,6,18,7,Stocks,High,Travel,Education,14,Email,High,Loan
255,Tris O'Keaveny,48,Male,tokeaveny72@jugem.jp,Widowed,3,Retired,324536,Marketing Manager,Master,Owner,813,1620664,388582,National Bank,5,8,Bad,None,Travel,5251,1330,Clicked,Clicked,9,7,5,Mutual Funds,Medium,Gadgets,Retirement,45,WhatsApp,Medium,Insurance
256,Katinka Yarker,53,Female,kyarker73@cnn.com,Single,2,Self-employed,133092,Human Resources Specialist,Master,Renter,541,324406,102096,GS,3,3,No history,Bonds,Travel,11149,1918,Ignored,Ignored,40,16,3,Real Estate,High,Wedding,Education,61,Email,Low,Credit Card
257,Rupert Talks,20,Male,rtalks74@blinklist.com,Widowed,0,Unemployed,65325,Software Engineer,High School,Renter,628,97182,216020,National Bank,4,3,Bad,Stocks,Groceries,14964,3494,Clicked,Opened,42,2,4,Stocks,High,Gadgets,Property,42,WhatsApp,Medium,Credit Card
258,Reidar Solway,50,Male,rsolway75@umich.edu,Married,5,Unemployed,178836,Graphic Designer,High School,Owner,404,549106,48174,National Bank,1,4,No history,Bonds,Luxury,15952,1446,Clicked,Clicked,12,12,4,Crypto,Low,Travel,Retirement,67,Email,Medium,Loan
259,Sallee Mansuer,47,Female,smansuer76@macromedia.com,Divorced,0,Retired,430736,Sales Associate,Master,Renter,422,1078348,282224,First Bank,2,4,Bad,Bonds,Groceries,1990,2226,Clicked,Opened,49,7,6,Real Estate,High,Travel,Education,80,Email,High,Credit Card
260,Jule Hexter,19,Male,jhexter77@over-blog.com,Married,3,Retired,417925,Graphic Designer,High School,Owner,616,1073853,230325,Peoples Bank,2,8,Bad,Bonds,Travel,4383,4952,Opened,Opened,16,17,0,Stocks,High,Wedding,Property,40,SMS,Low,Loan
261,Suzy Chasmoor,40,Female,schasmoor78@dailymotion.com,Divorced,2,Unemployed,42245,Sales Associate,Master,Owner,430,1225492,384806,BNY,1,10,Good,Crypto,Dining,8368,1655,Clicked,Clicked,1,7,8,Stocks,Medium,Wedding,Property,7,SMS,Low,Credit Card
262,Warde Taysbil,26,Male,wtaysbil79@woothemes.com,Married,4,Unemployed,213826,Software Engineer,High School,Renter,455,425671,384049,BNY,5,6,Good,None,Groceries,8923,2608,Clicked,Clicked,24,1,1,Crypto,High,Wedding,Property,99,WhatsApp,Medium,Credit Card
263,Haley Teasey,25,Male,hteasey7a@webnode.com,Single,5,Unemployed,109052,Human Resources Specialist,PhD,Owner,634,31284,387296,City Bank,2,4,Good,None,Groceries,14885,3615,Opened,Opened,9,4,10,Stocks,High,Travel,Education,13,WhatsApp,Low,Loan
264,Deidre Jankovsky,36,Female,djankovsky7b@netvibes.com,Single,2,Self-employed,380373,Marketing Manager,Master,Renter,523,738216,424756,National Bank,3,0,Bad,Stocks,Luxury,7213,4908,Clicked,Clicked,46,0,10,Real Estate,Medium,Wedding,Retirement,99,WhatsApp,Medium,Insurance
265,Gherardo Vane,48,Male,gvane7c@sohu.com,Single,4,Retired,478173,Software Engineer,High School,Owner,553,791525,330183,National Bank,1,2,No history,None,Groceries,9527,1012,Opened,Clicked,33,16,1,Real Estate,High,Travel,Retirement,99,WhatsApp,Low,Credit Card
266,Melony Feye,29,Female,mfeye7d@un.org,Divorced,1,Unemployed,267665,Sales Associate,High School,Renter,642,293575,162046,BNY,1,5,Bad,Real Estate,Luxury,11381,4638,Opened,Ignored,32,9,9,Stocks,Low,Wedding,Education,92,WhatsApp,Low,Loan
267,Fraser Birdfield,22,Male,fbirdfield7e@devhub.com,Divorced,0,Employed,417409,Software Engineer,Master,Renter,508,395314,352665,GS,5,2,Good,None,Dining,17391,2486,Clicked,Opened,32,8,9,Real Estate,Medium,Wedding,Property,49,WhatsApp,High,Loan
268,Gwendolyn Varfolomeev,40,Female,gvarfolomeev7f@lulu.com,Widowed,2,Retired,480624,Human Resources Specialist,PhD,Owner,689,1694482,442844,First Bank,4,5,Good,Stocks,Luxury,15868,4694,Opened,Ignored,20,20,3,Crypto,High,Travel,Property,93,WhatsApp,Low,Credit Card
269,Even Tunny,24,Male,etunny7g@google.fr,Divorced,1,Self-employed,483591,Sales Associate,PhD,Renter,651,485190,153219,WF,4,6,Good,Crypto,Travel,2471,854,Ignored,Clicked,20,16,8,Real Estate,Medium,Travel,Retirement,96,Email,Medium,Loan
270,Robb MacGeffen,33,Male,rmacgeffen7h@uol.com.br,Married,1,Student,286065,Graphic Designer,High School,Renter,816,248387,428809,First Bank,2,7,Good,None,Travel,19040,3065,Opened,Clicked,27,2,6,Stocks,Medium,Travel,Property,24,WhatsApp,High,Loan
271,Ava Boden,26,Female,aboden7i@yolasite.com,Widowed,3,Employed,181723,Marketing Manager,High School,Owner,362,1813086,457709,BNY,1,3,No history,Real Estate,Dining,14660,3897,Ignored,Opened,15,16,0,Stocks,Low,Gadgets,Education,64,Email,Medium,Loan
272,Mano Matasov,41,Male,mmatasov7j@hp.com,Divorced,2,Employed,292763,Marketing Manager,Bachelor,Owner,641,1430500,104433,WF,3,2,Bad,None,Luxury,18809,194,Ignored,Opened,41,14,2,Crypto,Low,Travel,Property,30,Email,Medium,Credit Card
273,Bradan Yes,19,Male,byes7k@bluehost.com,Divorced,4,Employed,49508,Software Engineer,PhD,Owner,495,121657,308353,Community Bank,5,0,Bad,Stocks,Travel,5517,4528,Opened,Ignored,3,2,8,Stocks,High,Gadgets,Retirement,23,Email,Low,Insurance
274,Fiann Mingardo,27,Female,fmingardo7l@mit.edu,Married,0,Unemployed,353091,Human Resources Specialist,Bachelor,Owner,402,279206,44111,City Bank,5,6,Good,Bonds,Dining,18295,2203,Clicked,Clicked,29,18,0,Crypto,High,Wedding,Education,43,SMS,Low,Credit Card
275,Bartlet Riccio,47,Male,briccio7m@nih.gov,Divorced,5,Unemployed,493642,Marketing Manager,PhD,Renter,714,1040723,87353,First Bank,3,4,Bad,Bonds,Groceries,9563,30,Opened,Ignored,40,1,8,Crypto,High,Travel,Property,12,Email,Low,Insurance
276,Tarah Thornton-Dewhirst,41,Female,tthorntondewhirst7n@biblegateway.com,Single,5,Employed,144200,Marketing Manager,PhD,Owner,418,112787,279743,WF,3,6,No history,Crypto,Dining,10179,2067,Opened,Clicked,15,20,3,Stocks,Medium,Wedding,Retirement,77,SMS,Medium,Insurance
277,Cathleen Coggen,22,Female,ccoggen7o@ed.gov,Widowed,2,Retired,141178,Marketing Manager,High School,Owner,571,909231,254511,City Bank,5,7,Bad,Bonds,Dining,6668,379,Ignored,Ignored,21,1,6,Stocks,Medium,Gadgets,Property,85,Email,Low,Credit Card
278,Leigh Smeeth,31,Female,lsmeeth7p@privacy.gov.au,Married,1,Employed,353222,Sales Associate,Bachelor,Renter,319,1846175,164196,First Bank,2,8,Bad,None,Groceries,18422,4030,Ignored,Clicked,4,6,4,Crypto,Low,Travel,Education,23,WhatsApp,High,Insurance
279,Edi Ortner,38,Female,eortner7q@photobucket.com,Widowed,4,Retired,327767,Software Engineer,Bachelor,Owner,490,1018397,460293,Community Bank,3,6,No history,None,Dining,17700,4423,Clicked,Ignored,27,7,3,Real Estate,Medium,Wedding,Education,57,WhatsApp,High,Insurance
280,Maureene Thirlwall,55,Female,mthirlwall7r@nasa.gov,Married,4,Unemployed,264368,Sales Associate,PhD,Owner,784,1332742,486821,Community Bank,3,7,No history,Real Estate,Groceries,9831,2081,Clicked,Clicked,40,3,9,Crypto,High,Wedding,Education,67,WhatsApp,Low,Insurance
281,Leland Brellin,42,Male,lbrellin7s@e-recht24.de,Divorced,0,Self-employed,71978,Graphic Designer,High School,Renter,471,1309934,264265,Community Bank,4,8,No history,Real Estate,Luxury,13150,2734,Clicked,Clicked,38,7,7,Real Estate,Medium,Wedding,Property,16,Email,Low,Loan
282,Mord Mutton,23,Male,mmutton7t@topsy.com,Widowed,5,Employed,430232,Software Engineer,PhD,Renter,584,182591,181040,WF,1,0,Good,Bonds,Dining,17446,2346,Opened,Opened,11,16,6,Crypto,High,Wedding,Retirement,2,SMS,High,Loan
283,Fairleigh Lobley,28,Male,flobley7u@tripod.com,Single,1,Self-employed,288323,Human Resources Specialist,Master,Owner,558,1229899,156103,National Bank,1,2,Good,Real Estate,Luxury,2334,4561,Ignored,Clicked,44,20,2,Stocks,Medium,Gadgets,Property,76,Email,High,Credit Card
284,Kellyann Hetterich,24,Female,khetterich7v@dailymotion.com,Widowed,4,Unemployed,238803,Graphic Designer,Master,Renter,329,1965773,299768,Community Bank,4,4,Bad,Stocks,Travel,2881,4512,Clicked,Clicked,33,2,8,Real Estate,Medium,Travel,Education,27,WhatsApp,High,Credit Card
285,Maryrose Meiner,45,Female,mmeiner7w@bloglines.com,Single,1,Unemployed,173047,Sales Associate,Master,Owner,662,1641222,391888,National Bank,5,5,Bad,Crypto,Luxury,6410,2281,Clicked,Ignored,49,9,10,Real Estate,Medium,Travel,Education,54,Email,Medium,Loan
286,Angela Daborn,37,Female,adaborn7x@wunderground.com,Divorced,4,Retired,53430,Human Resources Specialist,Master,Owner,589,1490948,105590,BNY,2,2,Bad,Real Estate,Travel,3361,227,Opened,Opened,18,15,5,Mutual Funds,High,Gadgets,Property,85,Email,Low,Loan
287,Mariejeanne Kibbey,27,Female,mkibbey7y@msu.edu,Divorced,4,Unemployed,194684,Sales Associate,PhD,Owner,483,1985229,143746,Peoples Bank,3,2,No history,None,Groceries,13551,3145,Opened,Ignored,30,1,5,Real Estate,Low,Wedding,Property,65,WhatsApp,Medium,Credit Card
288,Morten Hallard,39,Male,mhallard7z@macromedia.com,Married,2,Student,147981,Sales Associate,PhD,Renter,498,281038,290277,National Bank,2,4,Good,Stocks,Dining,18059,2387,Clicked,Clicked,15,6,4,Mutual Funds,High,Gadgets,Education,95,Email,Medium,Loan
289,Korrie Trussell,51,Female,ktrussell80@wisc.edu,Widowed,2,Retired,372217,Marketing Manager,High School,Owner,426,1306819,51819,City Bank,4,2,Good,Crypto,Travel,8296,4444,Opened,Ignored,43,4,1,Real Estate,High,Gadgets,Retirement,28,SMS,High,Credit Card
290,Pierette Sellwood,53,Female,psellwood81@home.pl,Single,3,Self-employed,388639,Sales Associate,Master,Renter,361,19984,36946,Community Bank,2,9,Bad,None,Dining,17918,1100,Clicked,Ignored,39,0,10,Real Estate,High,Wedding,Property,22,Email,Low,Loan
291,Anastasie Davis,26,Female,adavis82@soundcloud.com,Divorced,3,Retired,155416,Graphic Designer,High School,Renter,364,1818081,108093,Peoples Bank,2,10,Good,Stocks,Groceries,5932,3644,Opened,Ignored,43,16,1,Real Estate,Medium,Wedding,Retirement,79,WhatsApp,High,Loan
292,Shelby Scurman,54,Male,sscurman83@hubpages.com,Single,1,Unemployed,450947,Graphic Designer,Bachelor,Owner,754,1594210,331486,BNY,1,2,No history,Stocks,Luxury,5781,632,Clicked,Ignored,27,15,9,Stocks,Low,Wedding,Retirement,86,SMS,Medium,Insurance
293,Peirce Gosneye,35,Male,pgosneye84@dion.ne.jp,Married,2,Self-employed,49062,Sales Associate,High School,Owner,648,1157359,262680,First Bank,3,5,Bad,Stocks,Groceries,14129,845,Clicked,Ignored,38,1,6,Real Estate,High,Wedding,Retirement,44,Email,Medium,Credit Card
294,Delcina Iacomo,38,Female,diacomo85@cbc.ca,Single,5,Retired,265983,Graphic Designer,Bachelor,Renter,510,1694018,111502,WF,5,7,Bad,Bonds,Dining,14124,230,Opened,Clicked,25,6,8,Mutual Funds,Medium,Travel,Property,21,SMS,Medium,Loan
295,Benedikt Tryhorn,49,Male,btryhorn86@arstechnica.com,Divorced,5,Retired,276144,Graphic Designer,High School,Renter,605,648887,89528,First Bank,4,1,Good,Bonds,Travel,11087,1403,Clicked,Ignored,31,15,4,Crypto,Medium,Wedding,Education,30,Email,Medium,Credit Card
296,Karoly Pinshon,54,Male,kpinshon87@blogs.com,Divorced,1,Unemployed,306013,Human Resources Specialist,Master,Owner,515,1512935,438696,Community Bank,1,2,Good,Bonds,Travel,15123,4998,Clicked,Opened,19,17,7,Stocks,Medium,Travel,Education,25,SMS,High,Insurance
297,Arabella Bendixen,54,Female,abendixen88@omniture.com,Divorced,1,Unemployed,30704,Marketing Manager,PhD,Owner,563,1461852,93471,City Bank,5,6,No history,Crypto,Travel,5764,2186,Ignored,Clicked,39,0,3,Real Estate,High,Wedding,Retirement,16,SMS,High,Loan
298,Delmer Heatly,31,Male,dheatly89@berkeley.edu,Single,0,Self-employed,282734,Graphic Designer,Master,Owner,829,692229,498677,First Bank,4,7,No history,Stocks,Luxury,1006,3258,Ignored,Opened,0,19,9,Stocks,Low,Travel,Retirement,6,SMS,Low,Credit Card
299,Davidde Geraghty,26,Male,dgeraghty8a@angelfire.com,Married,1,Employed,430406,Human Resources Specialist,PhD,Renter,819,825771,222174,Peoples Bank,1,5,No history,Crypto,Travel,19556,4380,Ignored,Ignored,4,11,5,Crypto,High,Gadgets,Property,62,Email,High,Loan
300,Arlina Pentony,39,Female,apentony8b@goo.gl,Married,5,Student,389249,Graphic Designer,PhD,Renter,419,889295,196825,National Bank,4,1,Bad,Stocks,Travel,4352,352,Clicked,Opened,3,15,10,Crypto,Low,Travel,Property,4,Email,Medium,Loan
301,Babb Binge,31,Female,bbinge8c@omniture.com,Married,0,Employed,238809,Software Engineer,Master,Owner,315,687892,335210,Community Bank,4,3,No history,Crypto,Travel,10466,576,Clicked,Opened,13,9,3,Mutual Funds,Medium,Wedding,Retirement,25,WhatsApp,Low,Insurance
302,Darcy Larkkem,43,Female,dlarkkem8d@arizona.edu,Single,1,Unemployed,111419,Graphic Designer,PhD,Owner,453,831768,348138,WF,4,0,Bad,Stocks,Luxury,14852,1166,Ignored,Opened,45,19,10,Mutual Funds,High,Travel,Education,17,Email,Low,Loan
303,Elliot Popley,32,Male,epopley8e@nymag.com,Married,3,Employed,498367,Graphic Designer,Master,Owner,441,255355,4266,GS,5,2,Good,Crypto,Dining,9978,188,Clicked,Clicked,49,7,7,Real Estate,Low,Travel,Property,0,SMS,High,Loan
304,Myrta Hurdman,27,Female,mhurdman8f@acquirethisname.com,Married,3,Student,388960,Marketing Manager,Bachelor,Renter,468,1806619,487872,BNY,1,10,Bad,Crypto,Travel,16726,1,Opened,Clicked,21,10,7,Mutual Funds,Low,Gadgets,Retirement,78,WhatsApp,Medium,Insurance
305,Waylon Rivallant,51,Male,wrivallant8g@joomla.org,Divorced,2,Student,374495,Sales Associate,Bachelor,Renter,672,1256791,37808,First Bank,5,9,No history,Bonds,Groceries,8915,4773,Clicked,Opened,8,16,2,Stocks,High,Wedding,Education,89,WhatsApp,High,Insurance
306,Rycca Carnaman,34,Female,rcarnaman8h@mozilla.org,Divorced,5,Self-employed,162363,Marketing Manager,PhD,Owner,576,937863,235638,National Bank,1,1,Bad,None,Dining,2543,1874,Ignored,Clicked,5,20,0,Mutual Funds,Low,Travel,Retirement,94,SMS,Medium,Insurance
307,Nichol Lawrenz,51,Female,nlawrenz8i@cornell.edu,Married,3,Employed,114235,Software Engineer,PhD,Renter,340,407354,186473,BNY,4,0,No history,Crypto,Groceries,17122,4768,Ignored,Opened,4,20,3,Real Estate,Low,Wedding,Education,77,WhatsApp,Low,Credit Card
308,Marcos Waghorn,24,Male,mwaghorn8j@storify.com,Married,4,Employed,482198,Software Engineer,Master,Renter,645,797342,193450,First Bank,3,10,No history,Bonds,Dining,6618,268,Ignored,Clicked,11,16,8,Stocks,Low,Travel,Education,16,WhatsApp,Medium,Loan
309,Sharla Dungay,50,Female,sdungay8k@yandex.ru,Married,3,Retired,211719,Graphic Designer,Bachelor,Renter,637,1816651,334801,BNY,1,3,No history,None,Groceries,5715,1273,Opened,Opened,50,5,4,Stocks,Medium,Gadgets,Education,11,WhatsApp,Low,Credit Card
310,Elia Duck,37,Male,educk8l@nbcnews.com,Divorced,0,Retired,410077,Software Engineer,High School,Owner,471,1502519,285221,City Bank,2,10,Bad,Real Estate,Groceries,16803,1689,Opened,Opened,13,11,3,Real Estate,Medium,Gadgets,Property,84,Email,High,Loan
311,Humfrid Donati,26,Male,hdonati8m@rediff.com,Divorced,3,Employed,346368,Human Resources Specialist,PhD,Owner,331,1854585,167109,First Bank,4,2,No history,Bonds,Luxury,10783,2185,Opened,Ignored,24,14,0,Stocks,Medium,Travel,Education,38,WhatsApp,High,Insurance
312,Baxter Malafe,29,Male,bmalafe8n@businessweek.com,Widowed,1,Student,216767,Software Engineer,PhD,Renter,646,1969241,31409,National Bank,3,7,Good,Crypto,Groceries,13883,2282,Opened,Clicked,3,3,4,Crypto,Medium,Wedding,Property,48,SMS,High,Loan
313,Thadeus Billyard,50,Male,tbillyard8o@oakley.com,Married,1,Student,471510,Marketing Manager,Master,Renter,529,692097,452777,BNY,4,10,Bad,None,Luxury,18698,1328,Opened,Ignored,17,9,7,Mutual Funds,Low,Wedding,Retirement,42,Email,Low,Credit Card
314,Beale Minocchi,26,Male,bminocchi8p@nyu.edu,Divorced,5,Unemployed,473433,Sales Associate,PhD,Renter,728,1216098,266211,City Bank,3,7,Good,Real Estate,Luxury,16809,1704,Clicked,Clicked,35,4,2,Stocks,High,Wedding,Retirement,41,SMS,Medium,Credit Card
315,Nevin Paskerful,28,Male,npaskerful8q@woothemes.com,Divorced,4,Unemployed,272308,Sales Associate,PhD,Owner,780,807524,393066,Community Bank,1,10,Bad,Bonds,Groceries,18869,1509,Clicked,Ignored,25,19,7,Mutual Funds,Medium,Wedding,Property,20,SMS,High,Insurance
316,Daron Coad,22,Male,dcoad8r@oaic.gov.au,Single,1,Self-employed,123863,Human Resources Specialist,High School,Owner,356,1719531,428748,City Bank,5,6,Bad,None,Travel,2103,1550,Ignored,Ignored,39,13,3,Stocks,Low,Wedding,Property,50,WhatsApp,High,Loan
317,Abdel Welbelove,32,Male,awelbelove8s@gmpg.org,Married,4,Employed,278303,Human Resources Specialist,PhD,Renter,843,1971277,206104,Peoples Bank,3,7,No history,Crypto,Groceries,1356,895,Opened,Clicked,23,10,2,Stocks,Low,Wedding,Retirement,33,WhatsApp,Low,Loan
318,Nolana Clee,43,Female,nclee8t@about.com,Single,3,Self-employed,476619,Marketing Manager,Master,Owner,567,1750153,259479,City Bank,1,8,No history,None,Dining,4693,2532,Clicked,Clicked,19,10,5,Real Estate,Low,Travel,Education,23,WhatsApp,Low,Loan
